model,acc,prec,rec,f1,auc,cv_mean,cv_std,status
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stable
XGBoost Tuned,1.0,1.0,1.0,1.0,0.9999999999999999,0.9846153846153847,0.03076923076923075,tuned
Random Forest,0.9998518299007261,1.0,0.8571428571428571,0.9230769230769231,0.9999364325973641,0.9277777777777778,0.098757715747951,stable
Random Forest Tuned,0.9998518299007261,1.0,0.8571428571428571,0.9230769230769231,0.9999364325973641,0.8989010989010989,0.16642457158367077,tuned
Decision Tree,0.9998518299007261,1.0,0.8571428571428571,0.9230769230769231,0.9285714285714286,0.9555555555555555,0.054433105395181765,stable
Logistic Regression,0.9962957475181509,0.21875,1.0,0.358974358974359,0.9997457303894562,0.3338496527137501,0.022746114464389722,stable
