Feature,Importance
pl_rade,0.860876358333644
pl_orbsmax,0.05047037377788785
pl_orbper,0.04506901252507763
st_met,0.020251146287600132
st_teff,0.018757407563076423
st_spectype_G,0.001869218579538347
st_spectype_F,0.0012024702637017859
st_spectype_K,0.001007993818340782
st_spectype_M,0.00041735129775454964
st_spectype_B,6.205586491757684e-05
st_spectype_m,1.2793601695523286e-05
st_spectype_W,2.3356325011828234e-06
st_spectype_D,1.4172695084892108e-06
st_spectype_L,6.518475584417082e-08
st_spectype_T,0.0
